days,performances,load
1,135.5,28.30679787
2,,0
3,133.4,21.00788625
4,,0
5,133.7,21.97263918
6,,0
7,135.3,29.30034646
8,,0
9,,0
10,133.2,41.43359764
11,,0
12,,0
13,132.9,40.40488475
14,,0
15,,0
16,136.2,39.91593324
17,,0
18,138,17.4690383
19,,0
20,137.6,21.25095927
21,,0
22,137.1,22.64433765
23,,0
24,,0
25,,0
26,138.8,47.39205529
27,,0
28,,0
29,137.9,34.08822452
30,,0
31,,0
32,136.9,55.88156744
33,,0
34,,0
35,,0
36,140.5,54.4946609
37,,0
38,,0
39,,0
40,,0
41,142.3,54.97169092
42,,0
43,,0
44,,0
45,141.5,66.94917938
46,,0
47,,0
48,140,68.21727856
49,,0
50,,0
51,,0
52,139.5,59.9458639
53,,0
54,,0
55,138.2,66.07642483
56,,0
57,,0
58,139.3,66.78296856
59,,0
60,,0
61,,0
62,,51.56496174
63,,0
64,141.2,68.75581188
65,,0
66,,0
67,,0
68,139.8,68.45414063
69,,0
70,,0
71,,0
72,142.5,56.81442433
73,,0
74,,0
75,144.8,53.55708038
76,,0
77,,67.07930981
78,,0
79,,0
80,146,35.51999341
81,,0
82,,0
83,,0
84,,0
85,147.2,29.12724787
86,,0
87,,39.07429552
88,,0
89,148.6,17.00451932
90,,0
91,,0
92,,0
93,,0
94,147.3,50.19349548
95,,0
96,,0
97,,0
98,,0
99,148,27.73378404
100,,0
101,,39.53299747
102,,0
103,147.5,17.50940074
104,,0
105,,0
106,,0
107,,0
108,148.3,67.85645703
109,,0
110,,0
111,,0
112,,0
113,150,32.73069522
114,,0
115,,0
116,,0
117,148.5,70.22112853
118,,0
119,,0
120,150,18.85691377
121,,0
122,,0
123,,0
124,149.8,56.12845882
125,,0
126,,0
127,148.3,31.54462898
128,,0
129,,0
130,,0
131,150,55.08775318
132,,0
133,,0
134,151.5,10.23194581
135,,0
136,,0
137,149.7,63.06066947
138,,0
139,,0
140,,0
141,,0
142,,0
143,155,40.0887048
144,,0
145,,0
146,,0
147,153,0
